program,mode,approx_type,N,dist,K,seed,tempo,cycles,instructions,cache_references,cache_misses,checksum,error_abs_mean,error_rel_mean,rmse,error_max
conv_linear_approx,approx,skip_kernel,512,0,7,12347,0.005035,39737564,88531541,359382,108168,127873.974077,0.054724165268,0.110618628285,0.069161121025,0.314316601431
conv_malloc_approx,approx,float,512,0,7,12347,0.010789,61427148,123757269,609692,175123,127868.701809,0.000000040286,0.000000080418,0.000000051510,0.000000270330
conv_malloc_approx,approx,skip_kernel,512,0,7,12347,0.004379,37143080,75338390,504760,111405,127873.974077,0.054724165268,0.110618628285,0.069161121025,0.314316601431
conv_linear,exact,none,512,0,7,12348,0.010122,60136559,128805663,444581,109851,128206.351186,0,0,0,0
conv_malloc,exact,none,512,0,7,12348,0.009394,56356231,109338375,447150,112571,128206.351186,0,0,0,0
conv_linear_approx,approx,float,512,0,7,12348,0.011168,64160995,148770641,414172,130179,128206.352361,0.000000036234,0.000000072197,0.000000046323,0.000000249321
conv_linear_approx,approx,skip_kernel,512,0,7,12348,0.004890,39693260,88527934,361179,108411,128203.026505,0.056232941302,0.113418165087,0.071052244376,0.308464841420
conv_malloc_approx,approx,float,512,0,7,12348,0.013434,61206233,123744235,585319,137863,128206.352361,0.000000036234,0.000000072197,0.000000046323,0.000000249321
conv_malloc_approx,approx,skip_kernel,512,0,7,12348,0.004385,37042854,75351373,484590,107873,128203.026505,0.056232941302,0.113418165087,0.071052244376,0.308464841420
conv_linear,exact,none,512,0,7,12349,0.010165,60126175,128789669,436048,112877,127965.078464,0,0,0,0
conv_malloc,exact,none,512,0,7,12349,0.009425,56531193,109362656,458058,118252,127965.078464,0,0,0,0
conv_linear_approx,approx,float,512,0,7,12349,0.011204,64352642,148781099,420542,138560,127965.079359,0.000000039870,0.000000079469,0.000000051082,0.000000268191
conv_linear_approx,approx,skip_kernel,512,0,7,12349,0.004905,39724805,88481581,356276,106484,127963.087053,0.050452580337,0.101857463436,0.063819032907,0.284573810226
conv_malloc_approx,approx,float,512,0,7,12349,0.010474,61225442,123716487,582486,140355,127965.079359,0.000000039870,0.000000079469,0.000000051082,0.000000268191
conv_malloc_approx,approx,skip_kernel,512,0,7,12349,0.004382,36948809,75291336,484689,103627,127963.087053,0.050452580337,0.101857463436,0.063819032907,0.284573810226
conv_linear,exact,none,512,0,7,12350,0.010992,60144251,128735941,439520,111004,128053.725175,0,0,0,0
conv_malloc,exact,none,512,0,7,12350,0.010202,56451744,109370285,458744,112322,128053.725175,0,0,0,0
conv_linear_approx,approx,float,512,0,7,12350,0.012103,64205449,148750379,428230,129823,128053.724832,0.000000039982,0.000000079726,0.000000051100,0.000000252467
conv_linear_approx,approx,skip_kernel,512,0,7,12350,0.005215,39938773,88605327,369624,111108,128058.753873,0.059287458640,0.119627713295,0.074961737071,0.345867519169
conv_malloc_approx,approx,float,512,0,7,12350,0.010481,61234007,123739442,587584,141633,128053.724832,0.000000039982,0.000000079726,0.000000051100,0.000000252467
conv_malloc_approx,approx,skip_kernel,512,0,7,12350,0.004390,37012335,75323873,479630,105470,128058.753873,0.059287458640,0.119627713295,0.074961737071,0.345867519169
conv_linear,exact,none,512,0,7,12351,0.010130,60240473,128839975,449873,111869,128091.151163,0,0,0,0
conv_malloc,exact,none,512,0,7,12351,0.009386,56303424,109284808,444147,111303,128091.151163,0,0,0,0
conv_linear_approx,approx,float,512,0,7,12351,0.011183,64176039,148775112,416292,127738,128091.152118,0.000000041447,0.000000082544,0.000000053023,0.000000300416
conv_linear_approx,approx,skip_kernel,512,0,7,12351,0.004907,39778595,88556018,362190,109087,128085.832604,0.053768442954,0.108441338491,0.067974545201,0.330477202325
conv_malloc_approx,approx,float,512,0,7,12351,0.010462,61153063,123729358,579894,138840,128091.152118,0.000000041447,0.000000082544,0.000000053023,0.000000300416
conv_malloc_approx,approx,skip_kernel,512,0,7,12351,0.004392,36984523,75277544,487884,105182,128085.832604,0.053768442954,0.108441338491,0.067974545201,0.330477202325
conv_linear,exact,none,512,0,7,12352,0.010978,60171216,128877677,447550,117034,127958.959576,0,0,0,0
conv_malloc,exact,none,512,0,7,12352,0.010163,56317086,109341702,448797,111061,127958.959576,0,0,0,0
conv_linear_approx,approx,float,512,0,7,12352,0.012090,64136930,148779435,416472,138054,127958.959237,0.000000039508,0.000000078915,0.000000050423,0.000000242384
conv_linear_approx,approx,skip_kernel,512,0,7,12352,0.004910,39870858,88647173,380291,109450,127956.976226,0.053722803422,0.108473894601,0.067862062802,0.288708271551
conv_malloc_approx,approx,float,512,0,7,12352,0.010721,63621692,123831072,603139,137182,127958.959237,0.000000039508,0.000000078915,0.000000050423,0.000000242384
conv_malloc_approx,approx,skip_kernel,512,0,7,12352,0.004376,36896579,75256404,472900,104542,127956.976226,0.053722803422,0.108473894601,0.067862062802,0.288708271551
conv_linear,exact,none,512,0,7,12353,0.010192,60401679,128859525,450320,116471,128015.937108,0,0,0,0
conv_malloc,exact,none,512,0,7,12353,0.009394,56361885,109294156,442713,113564,128015.937108,0,0,0,0
conv_linear_approx,approx,float,512,0,7,12353,0.011154,64035521,148692663,407527,128467,128015.936850,0.000000037453,0.000000074590,0.000000048078,0.000000250714
conv_linear_approx,approx,skip_kernel,512,0,7,12353,0.004916,39770092,88521903,359485,108126,128015.929037,0.047178877114,0.095390483465,0.059645430454,0.281318225748
